Computer Name,Host Name,Operating System,Group,Mode,Was the computer installed at least 7 days ago?,Has there been no files that would have been blocked in the last 4 days?,Has the computer checked in at least one time per day for at least 4 weekdays?,Did the learning mode start more than 7 days ago?,Learning Mode Scheduled End Date,Last Checkin,From,Status,Install Date,Denied Count 3 days,Denied Count 5 days,Denied Count 7 days,Update Channel,TL Version,TL Intended Version
SMH-L122,SMH-L122,Windows 10 Pro ,Workstations,Secure,false,false,true,false,,2024-11-15T15:25:48Z,174.205.97.132,Offline,2024-01-11T18:46:00Z,0,0,0,Regular,9.3.3.2407/9.3.0.299AMD64
SMH-L123,SMH-L123,Windows 10 Pro ,Workstations,Secure,false,false,true,false,,2024-04-11T13:56:02Z,104.219.185.179,Inactive,2023-10-06T23:50:00Z,0,0,0,Regular,8.4.0.1736/8.4.0.1AMD64
SMH-L123,SMH-L123,Windows 11 Pro ,Workstations,Secure,false,false,true,false,,2024-06-04T20:25:24Z,104.219.185.179,Inactive,2024-04-12T02:16:00Z,0,0,0,Regular,8.4.0.1736/8.4.0.1AMD64
SMH-L123,SMH-L123,Windows 11 Pro ,Workstations,Secure,false,false,true,false,,2024-11-15T15:47:14Z,104.219.185.179,Active,2024-06-18T01:31:00Z,0,0,0,Regular,9.1.3.2204/9.1.0.0AMD64
SMH-L124,SMH-L124,Windows 10 Pro ,Workstations,Secure,false,false,true,false,,2024-11-15T15:47:32Z,104.219.185.179,Active,2023-10-09T13:35:00Z,0,0,0,Regular,9.3.3.2407/9.3.0.299AMD64
smh-l125,smh-l125,macOS 14.5.0,MAC,Secure,false,false,true,false,,2024-09-06T20:50:49Z,172.16.11.1,Inactive,2023-10-06T23:08:00Z,0,0,0,Regular,[MAC] 2.7.0.418
smh-l128,smh-l128,macOS 14.4.1,MAC,Secure,false,false,true,false,,2024-05-03T14:42:13Z,173.47.220.185,Inactive,2023-11-01T15:20:00Z,0,0,0,Regular,[MAC] 2.7.0.418
smh-l129,SMH-L129,macOS 15.1.0,MAC,Secure,false,false,true,false,,2024-11-15T15:46:45Z,104.219.185.179,Active,2024-06-21T21:45:00Z,1,3,7,Regular,[MAC] 2.8.5.446
SMH-L130,SMH-L130,Windows 11 Pro ,Workstations,Secure,false,false,true,false,,2024-11-15T15:47:41Z,104.219.185.179,Active,2024-02-08T23:39:00Z,0,0,0,Regular,9.3.3.2407/9.3.0.299AMD64
SMH-L130,SMH-L130,Microsoft Windows 10 Pro ,Workstations,Secure,false,false,true,false,,2023-12-07T19:24:45Z,72.24.150.2,Inactive,2023-12-07T19:17:00Z,0,0,0,Regular,8.2.3.1575/8.2.0.2AMD64
