"Name","OperatingSystem","LastLogonDate"
"SMH-L99","Windows 10 Pro","11/13/2024 7:54:16 AM"
"smh-l208","macOS","11/11/2024 7:28:21 AM"
"SMH-L104","Windows 10 Pro","11/11/2024 7:07:58 AM"
"smh-l215","macOS","11/10/2024 4:39:50 PM"
"smh-l189","macOS","10/30/2024 9:05:28 AM"
"smh-l108","macOS","8/27/2024 4:00:19 PM"
"smh-l173","macOS","11/8/2024 12:27:24 PM"
"smh-l196","macOS","11/11/2024 9:18:45 AM"
"smh-l190","macOS","11/6/2024 1:07:54 AM"
"smh-l206","macOS","11/14/2024 10:25:07 AM"
"smh-l176","macOS","11/7/2024 2:52:00 PM"
"smh-l191","macOS","5/9/2024 9:16:39 AM"
"smh--l188","macOS","11/14/2024 11:24:15 AM"
"smh-l224","macOS","11/11/2024 9:29:34 AM"
"smh-l225","macOS","11/11/2024 8:21:06 AM"
"smh-l226","macOS","11/14/2024 1:44:34 PM"
"smh-l227","macOS","11/11/2024 9:01:33 AM"
"LDGC-L228","Windows 11 Pro","11/8/2024 10:41:39 AM"
"SMH-L285","Windows 11 Pro","11/14/2024 10:00:04 AM"
"LDGC-L230","Windows 11 Pro","7/12/2024 9:57:24 AM"
"SMH-L229","Windows 11 Pro","11/13/2024 8:47:10 AM"
"SMH-L232","Windows 11 Pro","8/13/2024 10:54:49 AM"
"kalmer-test-mac","macOS","8/30/2024 9:19:26 AM"
"smh-l228","macOS","11/9/2024 10:01:26 AM"
"smh-l230","macOS","11/7/2024 8:37:10 AM"
"SMH-L124","Windows 10 Pro","11/7/2024 9:12:41 AM"
"SMH-APP-04","Windows Server 2022 Datacenter","11/13/2024 10:47:05 AM"
"SMH-App-03","Windows Server 2022 Datacenter","11/14/2024 5:01:04 AM"
"SMH-WrkStn-01","Windows 11 Pro","8/26/2024 11:42:57 AM"
"SMH-SQL-03","Windows Server 2022 Datacenter","11/5/2024 6:55:06 PM"
"SMH-SQL-04","Windows Server 2022 Datacenter","8/26/2024 12:13:23 PM"
"SMH-SQL-2","Windows Server 2022 Datacenter","11/14/2024 5:01:04 AM"
"SMH-L236","Windows 11 Pro","11/7/2024 9:14:46 AM"
"SMH-L237","Windows 11 Pro","11/14/2024 10:21:03 AM"
"SMH-L238","Windows 11 Pro","9/6/2024 8:45:42 AM"
"SMH-L239","Windows 11 Pro","11/6/2024 12:37:38 AM"
"SMH-L240","Windows 11 Pro","11/4/2024 3:06:40 AM"
"SMH-L241","Windows 11 Pro","11/13/2024 5:23:58 PM"
"LDGC-L242","Windows 11 Pro","11/5/2024 6:51:13 AM"
"smh-l244","macOS","11/9/2024 9:25:06 AM"
"smh-l243","macOS","11/4/2024 1:06:56 PM"
"SMH-L246","Windows 11 Pro","11/6/2024 10:03:09 AM"
"smh-l245","macOS","11/14/2024 3:05:53 PM"
"smh-l282","macOS","11/11/2024 10:36:16 PM"
"smh-l283","macOS","11/12/2024 8:56:55 AM"
"smh-l284","macOS","11/9/2024 10:38:14 PM"
"SMH-L270","Windows 11 Pro","11/5/2024 5:28:33 PM"
"SMH-L281","Windows 11 Pro","11/8/2024 10:37:36 AM"
"SMH-L267","Windows 11 Pro","11/8/2024 10:39:58 AM"
"SMH-L286","Windows 11 Pro","11/8/2024 11:07:04 AM"
"SMH-L287","Windows 11 Pro","11/12/2024 9:02:11 AM"
"SMH-L252","Windows 11 Pro","11/14/2024 2:34:20 PM"
